"Step","transformer-2-(bin) - sig/significance","transformer-2-(bin) - sig/significance__MIN","transformer-2-(bin) - sig/significance__MAX","transformer-2 - sig/significance","transformer-2 - sig/significance__MIN","transformer-2 - sig/significance__MAX"
"224","2.168891668319702","2.168891668319702","2.168891668319702","2.2171249389648438","2.2171249389648438","2.2171249389648438"
"225","2.1766436100006104","2.1766436100006104","2.1766436100006104","2.2101948261260986","2.2101948261260986","2.2101948261260986"
"226","2.1752872467041016","2.1752872467041016","2.1752872467041016","2.2164554595947266","2.2164554595947266","2.2164554595947266"
"227","2.1742167472839355","2.1742167472839355","2.1742167472839355","2.2157998085021973","2.2157998085021973","2.2157998085021973"
"228","2.175363302230835","2.175363302230835","2.175363302230835","2.2217860221862793","2.2217860221862793","2.2217860221862793"
"229","2.17378306388855","2.17378306388855","2.17378306388855","2.2212302684783936","2.2212302684783936","2.2212302684783936"
"230","2.1727311611175537","2.1727311611175537","2.1727311611175537","2.2317047119140625","2.2317047119140625","2.2317047119140625"
"231","2.1711864471435547","2.1711864471435547","2.1711864471435547","2.2220711708068848","2.2220711708068848","2.2220711708068848"
"232","2.173143148422241","2.173143148422241","2.173143148422241","2.23175048828125","2.23175048828125","2.23175048828125"
"233","2.1719601154327393","2.1719601154327393","2.1719601154327393","2.2245686054229736","2.2245686054229736","2.2245686054229736"
"234","2.170722246170044","2.170722246170044","2.170722246170044","2.2272565364837646","2.2272565364837646","2.2272565364837646"
"235","2.170037031173706","2.170037031173706","2.170037031173706","2.2319464683532715","2.2319464683532715","2.2319464683532715"
